,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
55,5113,Buritica,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,6886458.61,78.05,2012,12824182.919659091,53.69900486559081
56,5120,Caceres,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,2626549999.07,78.05,2012,4891245202.1118145,53.69900486559081
57,5120,Caceres,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,5996677.51,78.05,2012,11167204.16888497,53.69900486559081
58,5129,Caldas - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,20388.75,78.05,2012,37968.58070467649,53.69900486559081
59,5129,Caldas - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,599.0,78.05,2012,1115.4769096732864,53.69900486559081
60,5138,Cañasgordas,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,12038575310.08,78.05,2012,22418619004.602943,53.69900486559081
61,5138,Cañasgordas,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,19673695.67,78.05,2012,36636983.719239265,53.69900486559081
62,5138,Cañasgordas,Antioquia,Metales Preciosos (Gr),PLATINO,Platino (Gr),2012,2012,34123860.84,78.05,2012,63546542.29703586,53.69900486559081
63,5142,Caracoli,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,76316898.53,78.05,2012,142119763.15207708,53.69900486559081
64,5142,Caracoli,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,272314.12,78.05,2012,507112.0417996669,53.69900486559081
65,5147,Carepa,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,933771.06,78.05,2012,1738898.257681384,53.69900486559081
66,5147,Carepa,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,3386.06,78.05,2012,6305.628956207559,53.69900486559081
67,5154,Caucasia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,11235387661.08,78.05,2012,20922897340.83955,53.69900486559081
68,5154,Caucasia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,28579393.02,78.05,2012,53221457.43954573,53.69900486559081
69,5154,Caucasia,Antioquia,Metales Preciosos (Gr),PLATINO,Platino (Gr),2012,2012,583393.17,78.05,2012,1086413.3729484177,53.69900486559081
70,5190,Cisneros,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,122722043.06,78.05,2012,228536903.7418377,53.69900486559081
71,5190,Cisneros,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,427534.87,78.05,2012,796169.0743992826,53.69900486559081
72,5197,Cocorna,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,69059.0,78.05,2012,128603.87296348494,53.69900486559081
73,5212,Copacabana,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2012,2012,884554.0,78.05,2012,1647244.6783959002,53.69900486559081
74,5234,Dabeiba,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,12460945.82,78.05,2012,23205170.8429046,53.69900486559081
75,5234,Dabeiba,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1198.85,78.05,2012,2232.536716463805,53.69900486559081
76,5237,Don Matias,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,2806999.31,78.05,2012,5227283.665732633,53.69900486559081
77,5250,El Bagre,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,9079404189.25,78.05,2012,16907956138.062237,53.69900486559081
78,5250,El Bagre,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,10685136.14,78.05,2012,19898201.40381561,53.69900486559081
79,5250,El Bagre,Antioquia,Metales Preciosos (Gr),PLATINO,Platino (Gr),2012,2012,303146.66000000003,78.05,2012,564529.3814266752,53.69900486559081
80,5282,Fredonia,Antioquia,Carbon (Ton),CARBON,Carbon (Ton),2012,2012,294127636.19,78.05,2012,547733867.557145,53.69900486559081
81,5282,Fredonia,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2012,2012,1084149.82,78.05,2012,2018938.382030801,53.69900486559081
82,5284,Frontino,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,70072268.86,78.05,2012,130490814.56051496,53.69900486559081
83,5284,Frontino,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,154970.28,78.05,2012,288590.5993749648,53.69900486559081
84,5308,Girardota,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2012,2012,5613.6,78.05,2012,10453.825008584241,53.69900486559081
85,5308,Girardota,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,5682391.18,78.05,2012,10581930.138599563,53.69900486559081
86,5308,Girardota,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,6338727.97,78.05,2012,11804181.447805047,53.69900486559081
87,5308,Girardota,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,12173.44,78.05,2012,22669.768332709802,53.69900486559081
88,5310,Gomez Plata,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,42271732.72,78.05,2012,78719769.25048538,53.69900486559081
89,5310,Gomez Plata,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,147796.14,78.05,2012,275230.68699305574,53.69900486559081
